id,name,category,city,lat,lon,neighborhood,notes,source,geocode_quality,include_on_map
harvard-cambridge,Harvard University (Cambridge campus),university,Cambridge,42.3744,-71.1169,Harvard Square,Main Yard / Cambridge anchor,curated_v1,seed,true
mit-main,Massachusetts Institute of Technology,university,Cambridge,42.3601,-71.0942,Kendall/MIT,Main campus,curated_v1,seed,true
bu-charles-river,Boston University (Charles River campus),university,Boston,42.3505,-71.1054,Fenway/Kenmore,Primary undergraduate campus,curated_v1,seed,true
northeastern-main,Northeastern University,university,Boston,42.3398,-71.0892,Fenway/Mission Hill,Main campus,curated_v1,seed,true
boston-college,Boston College,university,Brookline,42.3355,-71.1685,Chestnut Hill,Main campus (Brookline/Chestnut Hill),curated_v1,seed,true
tufts-medford,Tufts University (Medford/Somerville),university,Somerville,42.4075,-71.1190,Medford Hillside,Nearby Greater Boston hub; validate border,curated_v1,seed,true
umass-boston,UMass Boston,university,Boston,42.3135,-71.0384,Dorchester,Columbia Point campus,curated_v1,seed,true
suffolk-university,Suffolk University,university,Boston,42.3580,-71.0615,Beacon Hill/Downtown,Downtown campus cluster,curated_v1,seed,true
emerson-college,Emerson College,university,Boston,42.3521,-71.0653,Boston Common area,Downtown Boston,curated_v1,seed,true
berklee-college,Berklee College of Music,university,Boston,42.3466,-71.0889,Back Bay,Back Bay campus,curated_v1,seed,true
wentworth-institute,Wentworth Institute of Technology,university,Boston,42.3371,-71.0946,Fenway,Fenway campus,curated_v1,seed,true
simmons-university,Simmons University,university,Boston,42.3393,-71.1189,Fenway,Longwood-adjacent,curated_v1,seed,true
mcphs-university,MCPHS University,university,Boston,42.3365,-71.1012,Longwood/Fenway,Health sciences focus,curated_v1,seed,true
lesley-university,Lesley University,university,Cambridge,42.3868,-71.1190,Porter Square,Porter campus area,curated_v1,seed,true
massart,Massachusetts College of Art and Design,university,Boston,42.3430,-71.0990,Longwood/Fenway,Art and design,curated_v1,seed,true
nec-boston,New England Conservatory,university,Boston,42.3422,-71.0868,Back Bay,Huntington Ave,curated_v1,seed,true
fisher-college,Fisher College,university,Boston,42.3493,-71.0780,Back Bay,Back Bay campus,curated_v1,seed,true
emmanuel-college,Emmanuel College,university,Boston,42.3408,-71.1049,Fenway,Fenway campus,curated_v1,seed,true
hult-international,Hult International Business School,university,Cambridge,42.3736,-71.0810,East Cambridge,Graduate business,curated_v1,seed,true
eastern-nazarene,Eastern Nazarene College,university,Quincy,42.2720,-71.0230,Wollaston,Quincy south shore,curated_v1,seed,true
harvard-medical,Harvard Medical School,university,Boston,42.3354,-71.1068,Longwood,Longwood Medical Area,curated_v1,seed,true
harvard-sph,Harvard T.H. Chan School of Public Health,university,Boston,42.3351,-71.1025,Longwood,Longwood,curated_v1,seed,true
harvard-business,Harvard Business School,university,Boston,42.3672,-71.1240,Allston,Brighton/Allston,curated_v1,seed,true
harvard-seas,Harvard John A. Paulson School of Engineering and Applied Sciences (SEAS),university,Boston,42.3640,-71.1285,Allston,Allston campus,curated_v1,seed,true
bu-medical,Boston University School of Medicine,university,Boston,42.3362,-71.0735,South End,BU Medical Campus,curated_v1,seed,true
tufts-medical-school,Tufts University School of Medicine,university,Boston,42.3494,-71.0628,Chinatown,Tufts Medical Center area,curated_v1,seed,true
cambridge-college,Cambridge College,university,Cambridge,42.3680,-71.1100,Central Square,Adult-focused programs,curated_v1,seed,true
longy-music,Longy School of Music of Bard College,university,Cambridge,42.3738,-71.1255,Harvard Square,Music conservatory,curated_v1,seed,true
boston-architectural,Boston Architectural College,university,Boston,42.3506,-71.0673,Back Bay/Downtown,Design focus,curated_v1,seed,true
bunker-hill-cc,Bunker Hill Community College,college,Boston,42.3754,-71.0696,Charlestown,Charlestown campus,curated_v1,seed,true
roxbury-cc,Roxbury Community College,college,Boston,42.3281,-71.0955,Roxbury,Roxbury campus,curated_v1,seed,true
benjamin-franklin-inst,Benjamin Franklin Institute of Technology,college,Boston,42.3412,-71.0675,South End,Technical college,curated_v1,seed,true
